time, room, humidity, temp_celcius, temp_fahrenheit, temp_index_celcius, temp_index_fahrenheit
2023:01:12 16:51:37, living, 65.0, 18.8, 65.84, 18.43, 65.18
2023:01:12 17:01:37, living, 65.0, 18.8, 65.84, 18.43, 65.18
2023:01:12 17:11:38, living, 65.0, 18.8, 65.84, 18.43, 65.18
2023:01:12 17:21:38, living, 66.0, 18.8, 65.84, 18.46, 65.23
2023:01:12 17:31:38, living, 66.0, 18.8, 65.84, 18.46, 65.23
2023:01:12 17:41:39, living, 65.0, 18.8, 65.84, 18.43, 65.18
2023:01:12 17:51:39, living, 66.0, 18.7, 65.66, 18.35, 65.03
2023:01:12 18:01:40, living, 66.0, 18.7, 65.66, 18.35, 65.03
2023:01:12 18:11:40, living, 66.0, 18.7, 65.66, 18.35, 65.03
2023:01:12 18:21:40, living, 66.0, 18.6, 65.48, 18.24, 64.83
2023:01:12 18:31:41, living, 66.0, 18.6, 65.48, 18.24, 64.83
2023:01:12 18:41:41, living, 66.0, 18.6, 65.48, 18.24, 64.83
2023:01:12 18:51:42, living, 66.0, 18.6, 65.48, 18.24, 64.83
2023:01:12 19:01:42, living, 66.0, 18.6, 65.48, 18.24, 64.83
2023:01:12 19:11:42, living, 66.0, 18.7, 65.66, 18.35, 65.03
2023:01:12 19:21:43, living, 66.0, 18.6, 65.48, 18.24, 64.83
2023:01:12 19:31:43, living, 66.0, 18.6, 65.48, 18.24, 64.83
2023:01:12 19:41:43, living, 66.0, 18.6, 65.48, 18.24, 64.83
2023:01:12 19:51:44, living, 66.0, 18.6, 65.48, 18.24, 64.83
2023:01:12 20:01:44, living, 66.0, 18.6, 65.48, 18.24, 64.83
2023:01:12 20:11:44, living, 66.0, 18.6, 65.48, 18.24, 64.83
2023:01:12 20:21:45, living, 66.0, 18.6, 65.48, 18.24, 64.83
2023:01:12 20:31:45, living, 66.0, 18.6, 65.48, 18.24, 64.83
2023:01:12 20:41:46, living, 66.0, 18.6, 65.48, 18.24, 64.83
2023:01:12 20:51:46, living, 66.0, 18.6, 65.48, 18.24, 64.83
2023:01:12 21:01:46, living, 66.0, 18.6, 65.48, 18.24, 64.83
2023:01:12 21:11:47, living, 66.0, 18.6, 65.48, 18.24, 64.83
2023:01:12 21:21:47, living, 66.0, 18.4, 65.12, 18.02, 64.43
